Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-6,36.0,7.8847,40,100,250,112,0.16,0.158
-5,36.0,8.8069,40,100,250,112,0.16,0.158
-4,36.0,9.2125,40,100,250,112,0.16,0.158
-3,36.0,9.3774,40,100,250,112,0.16,0.158
-2,36.0,9.2596,40,100,250,112,0.16,0.158
-1,36.0,8.6254,40,100,250,112,0.16,0.158
0,36.0,8.0828,40,100,250,112,0.16,0.158
1,36.0,7.0324,40,100,250,112,0.16,0.158
2,36.0,5.3353,40,100,250,112,0.16,0.158
3,36.0,3.8922,40,100,250,112,0.16,0.158
-8,40.0,6.1975,40,100,250,112,0.16,0.158
-7,40.0,7.1179,40,100,250,112,0.16,0.158
-6,40.0,7.8997,40,100,250,112,0.16,0.158
-5,40.0,8.6205,40,100,250,112,0.16,0.158
-4,40.0,9.1972,40,100,250,112,0.16,0.158
-3,40.0,9.6415,40,100,250,112,0.16,0.158
-2,40.0,9.3686,40,100,250,112,0.16,0.158
-1,40.0,8.7157,40,100,250,112,0.16,0.158
0,40.0,8.056000000000001,40,100,250,112,0.16,0.158
1,40.0,7.622000000000001,40,100,250,112,0.16,0.158
2,40.0,6.4196,40,100,250,112,0.16,0.158
3,40.0,5.0119,40,100,250,112,0.16,0.158
-7,0.0,6.3991,50,100,250,112,0.16,0.158
-6,0.0,7.112,50,100,250,112,0.16,0.158
-5,0.0,7.4918,50,100,250,112,0.16,0.158
-4,0.0,7.7008,50,100,250,112,0.16,0.158
-3,0.0,7.4178,50,100,250,112,0.16,0.158
-2,0.0,6.7883,50,100,250,112,0.16,0.158
-1,0.0,5.8279,50,100,250,112,0.16,0.158
0,0.0,4.6835,50,100,250,112,0.16,0.158
1,0.0,2.1364,50,100,250,112,0.16,0.158
2,0.0,0.72929,50,100,250,112,0.16,0.158
3,0.0,-0.9734,50,100,250,112,0.16,0.158
4,0.0,-3.5348,50,100,250,112,0.16,0.158
-7,5.0,6.4910000000000005,50,100,250,112,0.16,0.158
-6,5.0,7.0467,50,100,250,112,0.16,0.158
-5,5.0,7.7526,50,100,250,112,0.16,0.158
-4,5.0,7.98,50,100,250,112,0.16,0.158
-3,5.0,7.8699,50,100,250,112,0.16,0.158
-2,5.0,7.295,50,100,250,112,0.16,0.158
-1,5.0,6.5903,50,100,250,112,0.16,0.158
0,5.0,5.7286,50,100,250,112,0.16,0.158
1,5.0,3.7364,50,100,250,112,0.16,0.158
2,5.0,2.1315,50,100,250,112,0.16,0.158
3,5.0,-0.5728800000000001,50,100,250,112,0.16,0.158
4,5.0,-2.8373,50,100,250,112,0.16,0.158
-7,10.0,6.412999999999999,50,100,250,112,0.16,0.158
-6,10.0,7.228,50,100,250,112,0.16,0.158
-5,10.0,7.7581,50,100,250,112,0.16,0.158
-4,10.0,8.2385,50,100,250,112,0.16,0.158
-3,10.0,8.28,50,100,250,112,0.16,0.158
-2,10.0,7.8493,50,100,250,112,0.16,0.158
-1,10.0,7.2617,50,100,250,112,0.16,0.158
0,10.0,6.1928,50,100,250,112,0.16,0.158
1,10.0,3.8647,50,100,250,112,0.16,0.158
2,10.0,2.6575,50,100,250,112,0.16,0.158
3,10.0,0.6513100000000001,50,100,250,112,0.16,0.158
4,10.0,-2.2797,50,100,250,112,0.16,0.158
-7,15.0,6.4647,50,100,250,112,0.16,0.158
-6,15.0,7.2917,50,100,250,112,0.16,0.158
-5,15.0,7.8922,50,100,250,112,0.16,0.158
-4,15.0,8.3246,50,100,250,112,0.16,0.158
-3,15.0,8.478,50,100,250,112,0.16,0.158
-2,15.0,8.0412,50,100,250,112,0.16,0.158
-1,15.0,7.7693,50,100,250,112,0.16,0.158
0,15.0,6.2845,50,100,250,112,0.16,0.158
1,15.0,5.841,50,100,250,112,0.16,0.158
2,15.0,2.9642,50,100,250,112,0.16,0.158
3,15.0,1.8137,50,100,250,112,0.16,0.158
4,15.0,0.71733,50,100,250,112,0.16,0.158
-7,20.0,6.5474,50,100,250,112,0.16,0.158
-6,20.0,7.351,50,100,250,112,0.16,0.158
-5,20.0,8.1031,50,100,250,112,0.16,0.158
-4,20.0,8.4585,50,100,250,112,0.16,0.158
-3,20.0,8.7686,50,100,250,112,0.16,0.158
-2,20.0,8.3665,50,100,250,112,0.16,0.158
-1,20.0,7.9425,50,100,250,112,0.16,0.158
0,20.0,5.9927,50,100,250,112,0.16,0.158
1,20.0,6.4101,50,100,250,112,0.16,0.158
2,20.0,4.5439,50,100,250,112,0.16,0.158
3,20.0,3.0026,50,100,250,112,0.16,0.158
4,20.0,1.0504,50,100,250,112,0.16,0.158
-7,25.0,6.5459,50,100,250,112,0.16,0.158
-6,25.0,7.3026,50,100,250,112,0.16,0.158
-5,25.0,7.9737,50,100,250,112,0.16,0.158
-4,25.0,8.7235,50,100,250,112,0.16,0.158
-3,25.0,8.8042,50,100,250,112,0.16,0.158
-2,25.0,8.6951,50,100,250,112,0.16,0.158
-1,25.0,8.3767,50,100,250,112,0.16,0.158
0,25.0,6.0709,50,100,250,112,0.16,0.158
1,25.0,5.9092,50,100,250,112,0.16,0.158
2,25.0,5.3988,50,100,250,112,0.16,0.158
3,25.0,3.5088,50,100,250,112,0.16,0.158
4,25.0,0.9824,50,100,250,112,0.16,0.158
-7,30.0,6.4910000000000005,50,100,250,112,0.16,0.158
-6,30.0,7.3026,50,100,250,112,0.16,0.158
-5,30.0,7.9627,50,100,250,112,0.16,0.158
-4,30.0,8.69,50,100,250,112,0.16,0.158
-3,30.0,8.8812,50,100,250,112,0.16,0.158
-2,30.0,8.9982,50,100,250,112,0.16,0.158
-1,30.0,8.3504,50,100,250,112,0.16,0.158
0,30.0,8.0428,50,100,250,112,0.16,0.158
1,30.0,6.962999999999999,50,100,250,112,0.16,0.158
2,30.0,6.0994,50,100,250,112,0.16,0.158
3,30.0,4.6204,50,100,250,112,0.16,0.158
4,30.0,1.7408,50,100,250,112,0.16,0.158
-7,35.0,6.4639999999999995,50,100,250,112,0.16,0.158
-6,35.0,7.2692,50,100,250,112,0.16,0.158
-5,35.0,8.1516,50,100,250,112,0.16,0.158
-4,35.0,8.5613,50,100,250,112,0.16,0.158
-3,35.0,9.1635,50,100,250,112,0.16,0.158
-2,35.0,9.0989,50,100,250,112,0.16,0.158
-1,35.0,8.8153,50,100,250,112,0.16,0.158
0,35.0,8.1185,50,100,250,112,0.16,0.158
1,35.0,7.3949,50,100,250,112,0.16,0.158
2,35.0,5.8315,50,100,250,112,0.16,0.158
3,35.0,4.8701,50,100,250,112,0.16,0.158
4,35.0,2.0903,50,100,250,112,0.16,0.158
-7,40.0,6.4655,50,100,250,112,0.16,0.158
-6,40.0,7.3722,50,100,250,112,0.16,0.158
-5,40.0,8.1117,50,100,250,112,0.16,0.158
-4,40.0,8.7028,50,100,250,112,0.16,0.158
-3,40.0,9.2676,50,100,250,112,0.16,0.158
-2,40.0,9.1344,50,100,250,112,0.16,0.158
-1,40.0,8.8407,50,100,250,112,0.16,0.158
0,40.0,8.3128,50,100,250,112,0.16,0.158
1,40.0,7.6041,50,100,250,112,0.16,0.158
2,40.0,6.641,50,100,250,112,0.16,0.158
3,40.0,5.1085,50,100,250,112,0.16,0.158
4,40.0,3.1595,50,100,250,112,0.16,0.158
-7,45.0,6.4948,50,100,250,112,0.16,0.158
-6,45.0,7.3846,50,100,250,112,0.16,0.158
-5,45.0,7.9332,50,100,250,112,0.16,0.158
-4,45.0,8.896,50,100,250,112,0.16,0.158
-3,45.0,9.2319,50,100,250,112,0.16,0.158
-2,45.0,9.2676,50,100,250,112,0.16,0.158
-1,45.0,8.8637,50,100,250,112,0.16,0.158
0,45.0,8.3686,50,100,250,112,0.16,0.158
1,45.0,7.7903,50,100,250,112,0.16,0.158
2,45.0,6.6693,50,100,250,112,0.16,0.158
3,45.0,5.2199,50,100,250,112,0.16,0.158
4,45.0,2.904,50,100,250,112,0.16,0.158
-7,50.0,6.4827,50,100,250,112,0.16,0.158
-6,50.0,7.3244,50,100,250,112,0.16,0.158
-5,50.0,8.1151,50,100,250,112,0.16,0.158
-4,50.0,8.7849,50,100,250,112,0.16,0.158
-3,50.0,9.2962,50,100,250,112,0.16,0.158
-2,50.0,9.2397,50,100,250,112,0.16,0.158
-1,50.0,8.7605,50,100,250,112,0.16,0.158
0,50.0,8.5567,50,100,250,112,0.16,0.158
1,50.0,8.0216,50,100,250,112,0.16,0.158
2,50.0,6.7276,50,100,250,112,0.16,0.158
3,50.0,5.0936,50,100,250,112,0.16,0.158
4,50.0,4.246,50,100,250,112,0.16,0.158
-7,0.0,5.7154,60,100,250,112,0.16,0.158
-6,0.0,6.4925,60,100,250,112,0.16,0.158
-5,0.0,6.976,60,100,250,112,0.16,0.158
-4,0.0,7.4538,60,100,250,112,0.16,0.158
-3,0.0,7.4834,60,100,250,112,0.16,0.158
-2,0.0,7.1814,60,100,250,112,0.16,0.158
-1,0.0,6.2644,60,100,250,112,0.16,0.158
0,0.0,5.0336,60,100,250,112,0.16,0.158
1,0.0,2.4865,60,100,250,112,0.16,0.158
2,0.0,0.8965200000000001,60,100,250,112,0.16,0.158
3,0.0,-0.40585,60,100,250,112,0.16,0.158
4,0.0,-2.5136,60,100,250,112,0.16,0.158
-7,6.0,5.7703,60,100,250,112,0.16,0.158
-6,6.0,6.4528,60,100,250,112,0.16,0.158
-5,6.0,7.1845,60,100,250,112,0.16,0.158
-4,6.0,7.7429,60,100,250,112,0.16,0.158
-3,6.0,7.7183,60,100,250,112,0.16,0.158
-2,6.0,7.4491,60,100,250,112,0.16,0.158
-1,6.0,6.8541,60,100,250,112,0.16,0.158
0,6.0,5.4408,60,100,250,112,0.16,0.158
1,6.0,4.4914,60,100,250,112,0.16,0.158
2,6.0,2.5592,60,100,250,112,0.16,0.158
3,6.0,0.58822,60,100,250,112,0.16,0.158
4,6.0,-2.0938,60,100,250,112,0.16,0.158
-7,12.0,5.7355,60,100,250,112,0.16,0.158
-6,12.0,6.5114,60,100,250,112,0.16,0.158
-5,12.0,7.2522,60,100,250,112,0.16,0.158
-4,12.0,7.7748,60,100,250,112,0.16,0.158
-3,12.0,8.02,60,100,250,112,0.16,0.158
-2,12.0,7.9027,60,100,250,112,0.16,0.158
-1,12.0,7.4270000000000005,60,100,250,112,0.16,0.158
0,12.0,6.7384,60,100,250,112,0.16,0.158
1,12.0,5.8232,60,100,250,112,0.16,0.158
2,12.0,3.9161,60,100,250,112,0.16,0.158
3,12.0,0.7005399999999999,60,100,250,112,0.16,0.158
4,12.0,0.3418,60,100,250,112,0.16,0.158
-7,18.0,5.8345,60,100,250,112,0.16,0.158
-6,18.0,6.5715,60,100,250,112,0.16,0.158
-5,18.0,7.2767,60,100,250,112,0.16,0.158
-4,18.0,7.9611,60,100,250,112,0.16,0.158
-3,18.0,8.3246,60,100,250,112,0.16,0.158
-2,18.0,8.189,60,100,250,112,0.16,0.158
-1,18.0,7.9271,60,100,250,112,0.16,0.158
0,18.0,7.115,60,100,250,112,0.16,0.158
1,18.0,6.4521,60,100,250,112,0.16,0.158
2,18.0,4.5901,60,100,250,112,0.16,0.158
3,18.0,3.3122,60,100,250,112,0.16,0.158
4,18.0,1.4561,60,100,250,112,0.16,0.158
-7,24.0,5.8078,60,100,250,112,0.16,0.158
-6,24.0,6.6131,60,100,250,112,0.16,0.158
-5,24.0,7.3644,60,100,250,112,0.16,0.158
-4,24.0,8.1048,60,100,250,112,0.16,0.158
-3,24.0,8.4499,60,100,250,112,0.16,0.158
-2,24.0,8.509,60,100,250,112,0.16,0.158
-1,24.0,8.1765,60,100,250,112,0.16,0.158
0,24.0,7.796,60,100,250,112,0.16,0.158
1,24.0,7.1631,60,100,250,112,0.16,0.158
2,24.0,4.6922,60,100,250,112,0.16,0.158
3,24.0,4.0644,60,100,250,112,0.16,0.158
4,24.0,1.6292,60,100,250,112,0.16,0.158
-7,30.0,5.7395,60,100,250,112,0.16,0.158
-6,30.0,6.6139,60,100,250,112,0.16,0.158
-5,30.0,7.3476,60,100,250,112,0.16,0.158
-4,30.0,8.1981,60,100,250,112,0.16,0.158
-3,30.0,8.5315,60,100,250,112,0.16,0.158
-2,30.0,8.8181,60,100,250,112,0.16,0.158
-1,30.0,8.6037,60,100,250,112,0.16,0.158
0,30.0,7.9879,60,100,250,112,0.16,0.158
1,30.0,7.2543,60,100,250,112,0.16,0.158
2,30.0,6.412999999999999,60,100,250,112,0.16,0.158
3,30.0,4.506,60,100,250,112,0.16,0.158
4,30.0,2.7452,60,100,250,112,0.16,0.158
-7,36.0,5.6954,60,100,250,112,0.16,0.158
-6,36.0,6.5942,60,100,250,112,0.16,0.158
-5,36.0,7.3376,60,100,250,112,0.16,0.158
-4,36.0,8.0878,60,100,250,112,0.16,0.158
-3,36.0,8.7314,60,100,250,112,0.16,0.158
-2,36.0,8.8522,60,100,250,112,0.16,0.158
-1,36.0,8.7183,60,100,250,112,0.16,0.158
0,36.0,8.22,60,100,250,112,0.16,0.158
1,36.0,7.5098,60,100,250,112,0.16,0.158
2,36.0,6.8097,60,100,250,112,0.16,0.158
3,36.0,5.0067,60,100,250,112,0.16,0.158
4,36.0,3.2658,60,100,250,112,0.16,0.158
-7,42.0,5.7761,60,100,250,112,0.16,0.158
-6,42.0,6.6314,60,100,250,112,0.16,0.158
-5,42.0,7.4316,60,100,250,112,0.16,0.158
-4,42.0,8.1237,60,100,250,112,0.16,0.158
-3,42.0,8.7931,60,100,250,112,0.16,0.158
-2,42.0,9.1129,60,100,250,112,0.16,0.158
-1,42.0,8.6698,60,100,250,112,0.16,0.158
0,42.0,8.3364,60,100,250,112,0.16,0.158
1,42.0,7.8832,60,100,250,112,0.16,0.158
2,42.0,6.9346,60,100,250,112,0.16,0.158
3,42.0,5.7194,60,100,250,112,0.16,0.158
4,42.0,3.61,60,100,250,112,0.16,0.158
-7,48.0,5.7119,60,100,250,112,0.16,0.158
-6,48.0,6.6068,60,100,250,112,0.16,0.158
-5,48.0,7.3521,60,100,250,112,0.16,0.158
-4,48.0,8.2181,60,100,250,112,0.16,0.158
-3,48.0,8.8901,60,100,250,112,0.16,0.158
-2,48.0,9.0644,60,100,250,112,0.16,0.158
-1,48.0,8.8125,60,100,250,112,0.16,0.158
0,48.0,8.7028,60,100,250,112,0.16,0.158
1,48.0,7.8892,60,100,250,112,0.16,0.158
2,48.0,7.153,60,100,250,112,0.16,0.158
3,48.0,5.7442,60,100,250,112,0.16,0.158
4,48.0,3.6257,60,100,250,112,0.16,0.158
-7,54.0,5.7662,60,100,250,112,0.16,0.158
-6,54.0,6.5252,60,100,250,112,0.16,0.158
-5,54.0,7.4739,60,100,250,112,0.16,0.158
-4,54.0,8.2273,60,100,250,112,0.16,0.158
-3,54.0,8.917,60,100,250,112,0.16,0.158
-2,54.0,9.1416,60,100,250,112,0.16,0.158
-1,54.0,9.1784,60,100,250,112,0.16,0.158
0,54.0,8.5544,60,100,250,112,0.16,0.158
1,54.0,7.9705,60,100,250,112,0.16,0.158
2,54.0,7.1753,60,100,250,112,0.16,0.158
3,54.0,5.7849,60,100,250,112,0.16,0.158
4,54.0,4.1111,60,100,250,112,0.16,0.158
-7,60.0,5.7436,60,100,250,112,0.16,0.158
-6,60.0,6.4827,60,100,250,112,0.16,0.158
-5,60.0,7.4398,60,100,250,112,0.16,0.158
-4,60.0,8.1693,60,100,250,112,0.16,0.158
-3,60.0,8.9292,60,100,250,112,0.16,0.158
-2,60.0,9.2202,60,100,250,112,0.16,0.158
-1,60.0,9.3686,60,100,250,112,0.16,0.158
0,60.0,8.7314,60,100,250,112,0.16,0.158
1,60.0,8.0744,60,100,250,112,0.16,0.158
2,60.0,7.3288,60,100,250,112,0.16,0.158
3,60.0,6.4409,60,100,250,112,0.16,0.158
4,60.0,3.6147,60,100,250,112,0.16,0.158
-6,0.0,5.3229999999999995,75,100,250,112,0.16,0.158
-5,0.0,6.0122,75,100,250,112,0.16,0.158
-4,0.0,6.5809,75,100,250,112,0.16,0.158
-3,0.0,6.8462,75,100,250,112,0.16,0.158
-2,0.0,6.814,75,100,250,112,0.16,0.158
-1,0.0,6.4722,75,100,250,112,0.16,0.158
0,0.0,5.9092,75,100,250,112,0.16,0.158
1,0.0,4.5867,75,100,250,112,0.16,0.158
2,0.0,2.6175,75,100,250,112,0.16,0.158
3,0.0,0.70281,75,100,250,112,0.16,0.158
4,0.0,-1.8056,75,100,250,112,0.16,0.158
5,0.0,-4.8101,75,100,250,112,0.16,0.158
-6,7.5,5.3522,75,100,250,112,0.16,0.158
-5,7.5,6.104,75,100,250,112,0.16,0.158
-4,7.5,6.8011,75,100,250,112,0.16,0.158
-3,7.5,7.2501,75,100,250,112,0.16,0.158
-2,7.5,7.3812,75,100,250,112,0.16,0.158
-1,7.5,7.1927,75,100,250,112,0.16,0.158
0,7.5,6.6378,75,100,250,112,0.16,0.158
1,7.5,5.8303,75,100,250,112,0.16,0.158
2,7.5,3.8103,75,100,250,112,0.16,0.158
3,7.5,2.1142,75,100,250,112,0.16,0.158
4,7.5,0.51412,75,100,250,112,0.16,0.158
5,7.5,-1.3557,75,100,250,112,0.16,0.158
-6,15.0,5.2931,75,100,250,112,0.16,0.158
-5,15.0,6.2396,75,100,250,112,0.16,0.158
-4,15.0,6.8717,75,100,250,112,0.16,0.158
-3,15.0,7.481,75,100,250,112,0.16,0.158
-2,15.0,7.7143,75,100,250,112,0.16,0.158
-1,15.0,7.7116,75,100,250,112,0.16,0.158
0,15.0,7.2248,75,100,250,112,0.16,0.158
1,15.0,6.6636,75,100,250,112,0.16,0.158
2,15.0,5.7091,75,100,250,112,0.16,0.158
3,15.0,3.7824,75,100,250,112,0.16,0.158
4,15.0,1.188,75,100,250,112,0.16,0.158
5,15.0,-1.2795,75,100,250,112,0.16,0.158
-6,22.5,5.3718,75,100,250,112,0.16,0.158
-5,22.5,6.2103,75,100,250,112,0.16,0.158
-4,22.5,6.9237,75,100,250,112,0.16,0.158
-3,22.5,7.5014,75,100,250,112,0.16,0.158
-2,22.5,8.0428,75,100,250,112,0.16,0.158
-1,22.5,8.0103,75,100,250,112,0.16,0.158
0,22.5,7.8017,75,100,250,112,0.16,0.158
1,22.5,7.1041,75,100,250,112,0.16,0.158
2,22.5,6.2672,75,100,250,112,0.16,0.158
3,22.5,4.6054,75,100,250,112,0.16,0.158
4,22.5,2.935,75,100,250,112,0.16,0.158
5,22.5,0.38117,75,100,250,112,0.16,0.158
-6,30.0,5.3775,75,100,250,112,0.16,0.158
-5,30.0,6.2273,75,100,250,112,0.16,0.158
-4,30.0,6.9201,75,100,250,112,0.16,0.158
-3,30.0,7.6054,75,100,250,112,0.16,0.158
-2,30.0,8.1031,75,100,250,112,0.16,0.158
-1,30.0,8.2459,75,100,250,112,0.16,0.158
0,30.0,7.9363,75,100,250,112,0.16,0.158
1,30.0,7.5626,75,100,250,112,0.16,0.158
2,30.0,6.8028,75,100,250,112,0.16,0.158
3,30.0,5.3838,75,100,250,112,0.16,0.158
4,30.0,3.7905,75,100,250,112,0.16,0.158
5,30.0,1.7929,75,100,250,112,0.16,0.158
-6,37.5,5.3801,75,100,250,112,0.16,0.158
-5,37.5,6.2294,75,100,250,112,0.16,0.158
-4,37.5,6.9364,75,100,250,112,0.16,0.158
-3,37.5,7.6623,75,100,250,112,0.16,0.158
-2,37.5,8.2292,75,100,250,112,0.16,0.158
-1,37.5,8.3464,75,100,250,112,0.16,0.158
0,37.5,8.305,75,100,250,112,0.16,0.158
1,37.5,7.7035,75,100,250,112,0.16,0.158
2,37.5,7.1958,75,100,250,112,0.16,0.158
3,37.5,6.1713,75,100,250,112,0.16,0.158
4,37.5,4.1836,75,100,250,112,0.16,0.158
5,37.5,2.9073,75,100,250,112,0.16,0.158
-6,45.0,5.3558,75,100,250,112,0.16,0.158
-5,45.0,6.1533,75,100,250,112,0.16,0.158
-4,45.0,6.9501,75,100,250,112,0.16,0.158
-3,45.0,7.7429,75,100,250,112,0.16,0.158
-2,45.0,8.3767,75,100,250,112,0.16,0.158
-1,45.0,8.7659,75,100,250,112,0.16,0.158
0,45.0,8.3993,75,100,250,112,0.16,0.158
1,45.0,7.9689,75,100,250,112,0.16,0.158
2,45.0,7.2196,75,100,250,112,0.16,0.158
3,45.0,5.605,75,100,250,112,0.16,0.158
4,45.0,3.0763,75,100,250,112,0.16,0.158
5,45.0,3.1726,75,100,250,112,0.16,0.158
-6,52.5,5.3246,75,100,250,112,0.16,0.158
-5,52.5,6.1586,75,100,250,112,0.16,0.158
-4,52.5,6.9797,75,100,250,112,0.16,0.158
-3,52.5,7.6401,75,100,250,112,0.16,0.158
-2,52.5,8.2761,75,100,250,112,0.16,0.158
-1,52.5,8.566,75,100,250,112,0.16,0.158
0,52.5,8.4715,75,100,250,112,0.16,0.158
1,52.5,8.164,75,100,250,112,0.16,0.158
2,52.5,7.5526,75,100,250,112,0.16,0.158
3,52.5,6.6005,75,100,250,112,0.16,0.158
4,52.5,5.1839,75,100,250,112,0.16,0.158
5,52.5,3.9627,75,100,250,112,0.16,0.158
-6,60.0,5.3343,75,100,250,112,0.16,0.158
-5,60.0,6.1203,75,100,250,112,0.16,0.158
-4,60.0,6.9676,75,100,250,112,0.16,0.158
-3,60.0,7.6518,75,100,250,112,0.16,0.158
-2,60.0,8.3665,75,100,250,112,0.16,0.158
-1,60.0,8.6524,75,100,250,112,0.16,0.158
0,60.0,8.6013,75,100,250,112,0.16,0.158
1,60.0,8.1185,75,100,250,112,0.16,0.158
2,60.0,7.4155,75,100,250,112,0.16,0.158
3,60.0,6.5061,75,100,250,112,0.16,0.158
4,60.0,5.7384,75,100,250,112,0.16,0.158
5,60.0,3.9307,75,100,250,112,0.16,0.158
-6,67.5,5.2343,75,100,250,112,0.16,0.158
-5,67.5,6.1407,75,100,250,112,0.16,0.158
-4,67.5,6.9401,75,100,250,112,0.16,0.158
-3,67.5,7.7075,75,100,250,112,0.16,0.158
-2,67.5,8.3285,75,100,250,112,0.16,0.158
-1,67.5,8.6723,75,100,250,112,0.16,0.158
0,67.5,8.7366,75,100,250,112,0.16,0.158
1,67.5,8.3544,75,100,250,112,0.16,0.158
2,67.5,7.7197,75,100,250,112,0.16,0.158
3,67.5,6.17,75,100,250,112,0.16,0.158
4,67.5,5.6948,75,100,250,112,0.16,0.158
5,67.5,3.0607,75,100,250,112,0.16,0.158
-6,75.0,5.3662,75,100,250,112,0.16,0.158
-5,75.0,6.1941,75,100,250,112,0.16,0.158
-4,75.0,6.9723,75,100,250,112,0.16,0.158
-3,75.0,7.7471,75,100,250,112,0.16,0.158
-2,75.0,8.4014,75,100,250,112,0.16,0.158
-1,75.0,8.7986,75,100,250,112,0.16,0.158
0,75.0,8.7822,75,100,250,112,0.16,0.158
1,75.0,8.3031,75,100,250,112,0.16,0.158
2,75.0,7.8907,75,100,250,112,0.16,0.158
3,75.0,6.3373,75,100,250,112,0.16,0.158
4,75.0,4.9917,75,100,250,112,0.16,0.158
5,75.0,3.6875,75,100,250,112,0.16,0.158
-6,0.0,4.8434,80,100,250,112,0.16,0.158
-5,0.0,5.5343,80,100,250,112,0.16,0.158
-4,0.0,6.3006,80,100,250,112,0.16,0.158
-3,0.0,6.8054,80,100,250,112,0.16,0.158
-2,0.0,6.7636,80,100,250,112,0.16,0.158
-1,0.0,6.5001,80,100,250,112,0.16,0.158
0,0.0,5.7779,80,100,250,112,0.16,0.158
1,0.0,4.6106,80,100,250,112,0.16,0.158
2,0.0,2.4958,80,100,250,112,0.16,0.158
3,0.0,1.5230000000000001,80,100,250,112,0.16,0.158
4,0.0,-0.39111999999999997,80,100,250,112,0.16,0.158
5,0.0,-5.5694,80,100,250,112,0.16,0.158
-6,8.0,4.8796,80,100,250,112,0.16,0.158
-5,8.0,5.7034,80,100,250,112,0.16,0.158
-4,8.0,6.3111,80,100,250,112,0.16,0.158
-3,8.0,6.975,80,100,250,112,0.16,0.158
-2,8.0,7.1989,80,100,250,112,0.16,0.158
-1,8.0,7.1845,80,100,250,112,0.16,0.158
0,8.0,6.7789,80,100,250,112,0.16,0.158
1,8.0,5.9037,80,100,250,112,0.16,0.158
2,8.0,4.2321,80,100,250,112,0.16,0.158
3,8.0,3.0039,80,100,250,112,0.16,0.158
4,8.0,-0.026175999999999998,80,100,250,112,0.16,0.158
5,8.0,-0.068017,80,100,250,112,0.16,0.158
-6,16.0,4.8805,80,100,250,112,0.16,0.158
-5,16.0,5.649,80,100,250,112,0.16,0.158
-4,16.0,6.4692,80,100,250,112,0.16,0.158
-3,16.0,7.0583,80,100,250,112,0.16,0.158
-2,16.0,7.6169,80,100,250,112,0.16,0.158
-1,16.0,7.4421,80,100,250,112,0.16,0.158
0,16.0,7.3432,80,100,250,112,0.16,0.158
1,16.0,6.5206,80,100,250,112,0.16,0.158
2,16.0,5.6874,80,100,250,112,0.16,0.158
3,16.0,3.6555,80,100,250,112,0.16,0.158
4,16.0,2.6043,80,100,250,112,0.16,0.158
5,16.0,0.13667,80,100,250,112,0.16,0.158
-6,24.0,4.8855,80,100,250,112,0.16,0.158
-5,24.0,5.7709,80,100,250,112,0.16,0.158
-4,24.0,6.5521,80,100,250,112,0.16,0.158
-3,24.0,7.2448,80,100,250,112,0.16,0.158
-2,24.0,7.6834,80,100,250,112,0.16,0.158
-1,24.0,7.9409,80,100,250,112,0.16,0.158
0,24.0,7.7581,80,100,250,112,0.16,0.158
1,24.0,7.2961,80,100,250,112,0.16,0.158
2,24.0,6.5793,80,100,250,112,0.16,0.158
3,24.0,5.2518,80,100,250,112,0.16,0.158
4,24.0,3.9041,80,100,250,112,0.16,0.158
5,24.0,1.9463,80,100,250,112,0.16,0.158
-6,32.0,4.9245,80,100,250,112,0.16,0.158
-5,32.0,5.7349,80,100,250,112,0.16,0.158
-4,32.0,6.5428,80,100,250,112,0.16,0.158
-3,32.0,7.2311,80,100,250,112,0.16,0.158
-2,32.0,7.8654,80,100,250,112,0.16,0.158
-1,32.0,8.1622,80,100,250,112,0.16,0.158
0,32.0,8.0249,80,100,250,112,0.16,0.158
1,32.0,7.5626,80,100,250,112,0.16,0.158
2,32.0,6.885,80,100,250,112,0.16,0.158
3,32.0,5.5106,80,100,250,112,0.16,0.158
4,32.0,4.1997,80,100,250,112,0.16,0.158
5,32.0,2.7766,80,100,250,112,0.16,0.158
-6,40.0,4.9512,80,100,250,112,0.16,0.158
-5,40.0,5.7286,80,100,250,112,0.16,0.158
-4,40.0,6.6195,80,100,250,112,0.16,0.158
-3,40.0,7.2458,80,100,250,112,0.16,0.158
-2,40.0,7.9149,80,100,250,112,0.16,0.158
-1,40.0,8.305,80,100,250,112,0.16,0.158
0,40.0,8.3404,80,100,250,112,0.16,0.158
1,40.0,7.8907,80,100,250,112,0.16,0.158
2,40.0,7.2907,80,100,250,112,0.16,0.158
3,40.0,5.8167,80,100,250,112,0.16,0.158
4,40.0,5.3185,80,100,250,112,0.16,0.158
5,40.0,2.8252,80,100,250,112,0.16,0.158
-6,48.0,4.9024,80,100,250,112,0.16,0.158
-5,48.0,5.6401,80,100,250,112,0.16,0.158
-4,48.0,6.5084,80,100,250,112,0.16,0.158
-3,48.0,7.2639,80,100,250,112,0.16,0.158
-2,48.0,7.9194,80,100,250,112,0.16,0.158
-1,48.0,8.28,80,100,250,112,0.16,0.158
0,48.0,8.2685,80,100,250,112,0.16,0.158
1,48.0,8.1359,80,100,250,112,0.16,0.158
2,48.0,7.4526,80,100,250,112,0.16,0.158
3,48.0,6.6171,80,100,250,112,0.16,0.158
4,48.0,4.9796,80,100,250,112,0.16,0.158
5,48.0,3.7332,80,100,250,112,0.16,0.158
-6,56.0,4.886,80,100,250,112,0.16,0.158
