6.252,-3,60,0,250,112,0.16,0.158,75
6.9201,-2,60,0,250,112,0.16,0.158,75
7.3321,-1,60,0,250,112,0.16,0.158,75
7.4386,0,60,0,250,112,0.16,0.158,75
7.3222,1,60,0,250,112,0.16,0.158,75
7.1349,2,60,0,250,112,0.16,0.158,75
6.3487,3,60,0,250,112,0.16,0.158,75
4.9684,4,60,0,250,112,0.16,0.158,75
3.4003,5,60,0,250,112,0.16,0.158,75
4.3015,-6,67.5,0,250,112,0.16,0.158,75
0.84879,3,0,0,250,112,0.16,0.158,75
4.8547,-5,67.5,0,250,112,0.16,0.158,75
5.5197,-4,67.5,0,250,112,0.16,0.158,75
6.1308,-3,67.5,0,250,112,0.16,0.158,75
6.7318,-2,67.5,0,250,112,0.16,0.158,75
7.115,-1,67.5,0,250,112,0.16,0.158,75
7.3722,0,67.5,0,250,112,0.16,0.158,75
7.2196,1,67.5,0,250,112,0.16,0.158,75
6.9237,2,67.5,0,250,112,0.16,0.158,75
5.7372,3,67.5,0,250,112,0.16,0.158,75
5.2845,4,67.5,0,250,112,0.16,0.158,75
-1.0475,4,0,0,250,112,0.16,0.158,75
3.494,5,67.5,0,250,112,0.16,0.158,75
4.1425,-6,75,0,250,112,0.16,0.158,75
4.714,-5,75,0,250,112,0.16,0.158,75
5.3936,-4,75,0,250,112,0.16,0.158,75
6.0192,-3,75,0,250,112,0.16,0.158,75
6.5498,-2,75,0,250,112,0.16,0.158,75
7.0153,-1,75,0,250,112,0.16,0.158,75
7.2427,0,75,0,250,112,0.16,0.158,75
7.2217,1,75,0,250,112,0.16,0.158,75
6.9965,2,75,0,250,112,0.16,0.158,75
-3.4726,5,0,0,250,112,0.16,0.158,75
6.2908,3,75,0,250,112,0.16,0.158,75
5.3822,4,75,0,250,112,0.16,0.158,75
3.9884,5,75,0,250,112,0.16,0.158,75
4.8751,-6,0,0,250,112,0.16,0.158,80
5.6133,-5,0,0,250,112,0.16,0.158,80
6.252,-4,0,0,250,112,0.16,0.158,80
6.6962,-3,0,0,250,112,0.16,0.158,80
6.8753,-2,0,0,250,112,0.16,0.158,80
6.4895,-1,0,0,250,112,0.16,0.158,80
5.9141,0,0,0,250,112,0.16,0.158,80
5.1458,-6,7.5,0,250,112,0.16,0.158,75
4.1531,1,0,0,250,112,0.16,0.158,80
3.5912,2,0,0,250,112,0.16,0.158,80
1.0973,3,0,0,250,112,0.16,0.158,80
